function_id,expansion_degree,repeat_count,stable_origin_abs,stable_aceso_abs,stable_ofp_repair_abs,stable_origin_rel,stable_aceso_rel,stable_ofp_repair_rel,decayed_origin_abs,decayed_aceso_abs,decayed_ofp_repair_abs,decayed_origin_rel,decayed_aceso_rel,decayed_ofp_repair_rel
1 exp_BI,10,10,6.777918e-11,1.589906e-15,5.551700e-17,1.355583e-10,3.183286e-15,1.109072e-16,5.000000e-01,1.583021e-15,5.549998e-17,1.000000e+00,3.169435e-15,1.109887e-16
2 bJ_sin,10,10,2.855547e-10,5.357922e-15,4.570111e-19,5.093710e-03,1.330094e-09,2.106348e-16,7.418648e-09,5.357092e-15,3.862262e-19,1.000000e+00,5.095657e-08,2.047574e-16
3 di_tan,10,10,1.404690e-10,5.863225e-15,2.803222e-17,5.618761e-10,2.323991e-14,1.112842e-16,7.500000e-01,5.840530e-15,2.779147e-17,3.000000e+00,2.315089e-14,1.110411e-16
4 log_erf,10,10,3.307529e-10,7.295825e-15,1.274571e-16,2.931222e-10,6.461326e-15,1.138768e-16,1.128379e+00,7.291190e-15,1.265336e-16,1.000000e+00,6.457405e-15,1.122476e-16
5 acos_fd,10,10,4.392846e-10,1.743722e-14,5.849725e-16,8.413747e-11,3.338985e-15,1.120421e-16,5.221034e+00,1.733723e-14,5.847919e-16,1.000000e+00,3.319852e-15,1.120085e-16
6 ei,10,10,8.136987e-11,4.962353e-15,2.050234e-16,9.181605e-11,5.574751e-15,2.317834e-16,1.000000e+00,4.942226e-15,1.863472e-16,1.000000e+00,5.551992e-15,2.092877e-16
7 Q1_W,10,10,5.406242e-04,3.498585e-15,1.131613e-16,5.406243e-04,3.563059e-15,1.113286e-16,1.000000e+00,3.457875e-15,1.110996e-16,1.000000e+00,3.521229e-15,1.109736e-16
8 bj_tan,10,10,3.344685e-05,1.347332e-15,2.312456e-17,2.006811e-04,8.083996e-15,1.387482e-16,1.666667e-01,1.346481e-15,2.310669e-17,1.000000e+00,8.078888e-15,1.386403e-16
9 Si_tan,10,10,4.103425e-04,2.258281e-12,3.391807e-17,1.055166e-03,5.807009e-12,8.721734e-17,3.888889e-01,2.258288e-12,3.387652e-17,1.000000e+00,5.807026e-12,8.711098e-17
10 by_psi,10,10,2.646241e-01,5.594693e-12,4.419940e-16,1.000494e-01,2.117068e-12,1.656035e-16,2.055174e+24,5.594519e-12,4.211265e-16,7.770227e+23,2.116999e-12,1.586494e-16
11 fdm_log,10,10,4.213200e-11,2.938554e-15,5.710330e-17,8.426391e-11,5.865665e-15,1.136915e-16,1.000000e+00,2.929881e-15,5.558722e-17,1.000000e+00,5.848147e-15,1.110831e-16
12 eQ_sqrt,10,10,8.620452e-11,2.358204e-14,1.722365e-16,6.641925e-11,1.816924e-14,1.327681e-16,1.090770e+04,2.358426e-14,1.721459e-16,8.404215e+03,1.817100e-14,1.326363e-16
13 W_var,10,10,9.980845e-11,1.242768e-15,6.209950e-17,1.996169e-10,2.485483e-15,1.241334e-16,1.000000e+00,1.243467e-15,6.209090e-17,1.000000e+00,2.486894e-15,1.241798e-16
14 W_log,10,10,1.516824e-09,1.190539e-15,5.068307e-17,4.550472e-09,3.574893e-15,1.521012e-16,1.000000e+00,1.123066e-15,5.067387e-17,1.000000e+00,3.371322e-15,1.520218e-16
15 pow_df,10,10,1.152992e-10,9.100643e-15,6.558179e-16,4.241623e-11,3.333047e-15,2.407079e-16,4.584088e+00,8.969815e-15,6.577714e-16,1.686392e+00,3.285184e-15,2.419758e-16
16 chi_ci,10,10,5.195919e-02,6.476799e-15,5.549932e-17,1.039184e-01,1.295360e-14,1.109986e-16,5.000000e-01,6.455788e-15,5.539885e-17,1.000000e+00,1.291158e-14,1.107977e-16
17 fc_bj,10,10,7.750470e-11,2.621798e-15,9.339075e-19,1.964445e-04,8.801407e-10,2.120294e-16,1.638400e+04,2.621576e-15,7.681286e-19,3.189395e+24,6.028450e-08,2.064178e-16
s1 cos_x2,10,10,4.068638e-04,1.883493e-15,2.775027e-17,8.137276e-04,3.766986e-15,5.550068e-17,5.000000e-01,1.881560e-15,2.773933e-17,1.000000e+00,3.763120e-15,5.547870e-17
s2 exp_2,10,10,3.258194e-10,4.317551e-17,1.868347e-18,4.056140e-03,4.778091e-12,2.111623e-16,1.985925e+00,4.286005e-17,1.583366e-18,3.466671e+16,5.000139e-10,2.047855e-16
s3 cos_sin,10,10,1.943319e-11,9.435781e-18,9.320762e-19,4.576806e-05,3.962327e-12,2.102451e-16,5.241938e-09,9.356821e-18,7.853977e-19,1.000000e+00,5.000023e-10,2.074155e-16
s4 sin_sin,10,10,1.094477e-16,8.352693e-19,2.879720e-24,6.958520e-05,4.978857e-08,3.603949e-16,1.079459e-16,8.243068e-19,2.158798e-24,6.524645e-03,5.535811e-06,9.835572e-15
s5 tan_tan,10,10,2.397515e-18,7.712476e-19,6.171613e-22,2.397313e-12,7.711759e-13,6.171338e-16,1.989149e-18,7.698123e-19,5.377478e-22,1.988986e-12,7.697410e-13,5.377363e-16
s6 cos_cos,10,10,1.094157e-16,3.202461e-20,2.839462e-24,5.372225e-05,9.150385e-09,4.066629e-16,1.085487e-16,3.187223e-20,2.281275e-24,6.949852e-02,3.255354e-06,1.312326e-13
s7 exp_exp,10,10,1.647643e-16,5.865795e-17,3.702833e-18,5.020865e-11,3.917603e-12,2.099585e-16,1.632734e-16,5.144702e-17,3.044023e-18,1.000000e+00,9.999972e-10,2.038049e-16
s8 exp_1,10,10,1.111703e-16,2.132656e-17,1.808014e-18,1.123878e-10,2.005132e-11,2.097208e-16,1.109619e-16,2.078874e-17,1.406906e-18,1.000000e+00,9.999963e-10,2.096060e-16
s9 x_tan,10,10,1.239487e-10,2.302307e-15,6.481564e-19,2.519787e-03,3.156312e-09,2.366863e-16,1.032325e-08,2.301967e-15,5.267258e-19,2.255494e+00,1.125227e-07,2.256917e-16
s10 log_log,10,10,7.615959e-11,3.546954e-15,1.118042e-16,7.615957e-11,3.546572e-15,1.110732e-16,1.000000e+00,3.553688e-15,1.110916e-16,1.000000e+00,3.553501e-15,1.109523e-16
s11 log_x,10,10,2.180554e-16,6.954961e-17,3.696853e-18,2.296800e-11,5.047584e-12,2.114797e-16,2.214744e-16,6.819035e-17,2.903109e-18,1.000000e+00,2.000004e-09,2.083203e-16
s12 sqrt_exp,10,10,3.157999e-11,3.541304e-15,2.079071e-16,2.233042e-11,2.498877e-15,1.472555e-16,1.000000e+00,3.501306e-15,2.076945e-16,1.000000e+00,2.470631e-15,1.469150e-16
s13 sin_tan,10,10,1.001715e-01,2.557179e-15,2.775265e-17,1.003430e-01,5.114469e-15,5.550632e-17,1.000000e+00,2.545976e-15,2.774562e-17,1.000000e+00,5.092063e-15,5.549137e-17
s14 exp_x,10,10,4.829019e-11,5.821963e-15,1.113145e-16,4.829018e-11,5.816924e-15,1.109851e-16,1.000000e+00,5.816393e-15,1.110237e-16,1.000000e+00,5.811191e-15,1.109931e-16
s15 x_x2,10,10,1.686760e-11,8.926538e-16,5.576276e-17,3.373520e-11,1.780200e-15,1.111449e-16,1.000000e+00,8.073526e-16,5.552144e-17,1.000000e+00,1.611550e-15,1.110223e-16
c1 sci3545_2,10,10,1.326403e-03,1.000000e+00,9.812831e-06,1.680923e-04,1.000000e+00,1.517374e-06,1.000000e+00,1.000000e+00,9.807896e-06,1.000000e+00,1.000000e+00,1.516454e-06
c2 sci4034_1,10,10,5.549849e-17,4.193014e-18,8.325774e-21,7.725324e-05,9.417404e-06,2.406782e-16,5.549029e-17,4.191338e-18,6.583532e-21,1.000000e+00,2.465301e-02,2.406442e-16
c3 sci4034_2,10,10,4.524421e-14,1.000000e+00,2.566767e-17,8.585779e-11,1.000000e+00,2.002001e-16,1.050097e-08,1.000000e+00,2.183623e-17,1.000000e+00,1.000000e+00,1.942372e-16
c4 sci3547,10,10,1.335168e-03,1.000000e+00,5.013925e-16,2.373649e-04,1.000000e+00,1.092189e-16,1.000000e+00,1.000000e+00,4.854378e-16,1.000000e+00,1.000000e+00,1.048134e-16
c5 sci3545_1,10,10,1.504090e-23,1.000000e+00,1.701406e-35,1.000000e+00,1.000000e+00,1.134203e-12,8.955891e-24,1.000000e+00,9.211568e-36,7.979932e-01,1.000000e+00,8.127060e-13
case sympy/sympy#28514,10,10,2.509766e-16,1.077716e-17,4.344339e-18,1.023399e-10,2.140433e-11,4.993744e-16,2.407918e-16,1.149441e-15,3.491094e-18,2.405349e-12,6.869453e-13,4.294133e-16
case sympy/sympy#12671,10,10,1.000000e+00,1.000000e+00,5.495604e-14,1.000000e+00,1.000000e+00,5.499471e-17,1.000000e+00,1.000000e+00,5.495604e-14,1.000000e+00,1.000000e+00,5.499470e-17
case statsmodels/statsmodels#1604,10,10,1.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00
case statsmodels/statsmodels#826,10,10,6.385464e-11,1.000000e+00,1.011974e-15,4.289697e-12,1.000000e+00,1.759593e-16,1.000000e+00,1.000000e+00,3.605742e-15,1.000000e+00,1.000000e+00,1.384060e-16
case scipy/scipy#17194,10,10,1.112096e-16,1.043355e-17,3.832121e-18,5.354929e-11,1.075424e-11,4.435044e-16,1.109955e-16,1.478548e-17,2.608943e-18,1.000000e+00,9.999977e-10,3.313449e-16
case pytorch/pytorch#39242,10,10,3.600102e-11,1.000000e+00,1.025357e-15,2.513037e-12,1.000000e+00,1.593629e-16,1.000000e+00,1.000000e+00,3.599058e-15,1.000000e+00,1.000000e+00,1.360315e-16
